features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X414.1871_2.16_5333,5333,414.1871,2.16,Spectral Match to Lyso-PC(16:0) from NIST14,0.926094,7,82.1419,165499,Yes,Spectral Match to Lyso-PC(16:0) from NIST14,First Analog,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA
X195.0651_2.17_5341,5341,195.0651,2.17,FERULIC ACID,0.821998,4,9.16E-05,0.469345,No,FERULATE,First,Cinnamic acids and derivatives,Hydroxycinnamic acids,Organic compounds,Aromatic homomonocyclic compounds,Hydroxycinnamic acids and derivatives,Phenylpropanoids and polyketides,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X416.1547_2.1_5344,5344,416.1547,2.1,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X469.2907_3.3_5345,5345,469.2907,3.3,NA,NA,NA,NA,NA,No,Spectral Match to 1-Hexadecanoyl-2-sn-glycero-3-phosphate from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes
X451.3769_3.36_5349,5349,451.3769,3.36,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X672.5493_3.75_5350,5350,672.5493,3.75,NA,NA,NA,NA,NA,No,"Spectral Match to 1,2-Di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14",Fourth Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X189.123_0.57_5361,5361,189.123,0.57,Spectral Match to Gly-Ile from NIST14,0.869488,5,0.000991821,5.24429,No,Self-Loop,Self-Loop,Carboxylic acids and derivatives,Peptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA
X277.0785_0.48_5363,5363,277.0785,0.48,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X247.128_0.71_5364,5364,247.128,0.71,Spectral Match to Asp-Leu from NIST14,0.720329,7,0,0,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X836.4679_2.44_5365,5365,836.4679,2.44,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X941.6073_2.67_5370,5370,941.6073,2.67,taurocholic acid,0.853016,23,89.9827,87227.2,Yes,taurocholic acid,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X1053.569_2.5_5374,5374,1053.569,2.5,taurocholic acid,0.774961,7,0.000976562,0.926908,No,taurocholic acid,First,Steroids and steroid derivatives,"Trihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X348.0786_0.25_5375,5375,348.0786,0.25,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X399.287_2.59_5377,5377,399.287,2.59,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid",0.73132,10,14.073,36532.9,Yes,Self-Loop,Self-Loop,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X892.5912_2.82_5380,5380,892.5912,2.82,NA,NA,NA,NA,NA,No,taurodeoxycholic acid,First Analog,Steroids and steroid derivatives,"Trihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X625.2627_3.11_5382,5382,625.2627,3.11,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X261.09_2.18_5383,5383,261.09,2.18,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes
X572.2666_2.1_5388,5388,572.2666,2.1,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X535.2685_3.18_5392,5392,535.2685,3.18,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X609.3224_2.21_5397,5397,609.3224,2.21,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X301.6692_2.11_5400,5400,301.6692,2.11,Spectral Match to Ile-Ile-Lys from NIST14,0.787656,9,229.05,191844,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X1027.5555_2.44_5405,5405,1027.5555,2.44,NA,NA,NA,NA,NA,No,NA,None,Steroids and steroid derivatives,"Trihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X609.2679_3.14_5410,5410,609.2679,3.14,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X315.2514_3.02_5423,5423,315.2514,3.02,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],0.771799,9,0.00219727,6.96984,No,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585],First Analog,Fatty Acyls,Lineolic acids and derivatives,Organic compounds,Aliphatic heteromonocyclic compounds,Lineolic acids and derivatives,Lipids and lipid-like molecules,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,Yes
X337.1757_2.25_5429,5429,337.1757,2.25,NA,NA,NA,NA,NA,No,Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,Second Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X297.174_2.18_5431,5431,297.174,2.18,Spectral Match to Phe-Ile-Lys from NIST14,0.810728,7,389.204,455758,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X366.1919_2.5_5432,5432,366.1919,2.5,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X401.3394_2.77_5440,5440,401.3394,2.77,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X849.5659_2.56_5452,5452,849.5659,2.56,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.714891,11,0.00610352,7.18422,No,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X437.3022_2.65_5454,5454,437.3022,2.65,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X424.6922_2.12_5457,5457,424.6922,2.12,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X650.8331_2.42_5460,5460,650.8331,2.42,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X473.3606_2.7_5463,5463,473.3606,2.7,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",0.759235,11,18.0086,39548.8,Yes,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",Second,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X299.1267_2.44_5464,5464,299.1267,2.44,Spectral Match to Enterolactone from NIST14,0.882507,9,0.00128174,4.28492,No,Spectral Match to Enterodiol from NIST14,First,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X456.2452_2.17_5472,5472,456.2452,2.17,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X710.5885_2.83_5480,5480,710.5885,2.83,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes
X511.2393_2.16_5490,5490,511.2393,2.16,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X453.3553_3.02_5509,5509,453.3553,3.02,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,Yes
X629.472_3.59_5516,5516,629.472,3.59,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X441.3708_3.05_5522,5522,441.3708,3.05,Soyaspongenol C,0.76913,16,0.00219727,4.97825,No,Soyaspongenol C,First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes
X423.3602_3.05_5523,5523,423.3602,3.05,Glochidone,0.824818,15,0.00180054,4.25295,No,SN00379882 acylated triterpenoid putative,First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X457.3654_2.74_5524,5524,457.3654,2.74,Glochidone,0.77463,11,34.0034,80317.5,Yes,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X457.3655_2.88_5525,5525,457.3655,2.88,Enoxolone,0.729837,8,13.9815,29662.8,Yes,Soyaspongenol C,First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X469.3294_2.78_5526,5526,469.3294,2.78,"15-formyl-16-hydroxy-1,2,14,17,17-pentamethyl-8-(prop-1-en-2-yl)pentacyclo[11.7.0.0 , ?.0?,?.0 ?, ?]icosane-5-carboxylic acid",0.72696,9,19.0436,38993.9,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X459.3814_3.05_5528,5528,459.3814,3.05,NA,NA,NA,NA,NA,No,Soyaspongenol C,First,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X451.3189_2.85_5529,5529,451.3189,2.85,"Massbank:UF411502 Finasteride|(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-7-keto-9a,11a-dimethyl-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide",0.716533,9,78.0339,209046,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X482.3277_2.65_5531,5531,482.3277,2.65,NA,NA,NA,NA,NA,No,Met-DCA,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X482.3977_3.05_5532,5532,482.3977,3.05,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,0.703674,8,0.0726929,150.713,Yes,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,First Analog,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X425.3759_3.56_5533,5533,425.3759,3.56,Glochidone,0.80922,12,2.01389,4756.89,Yes,osmanthuside H,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X421.3445_2.75_5534,5534,421.3445,2.75,"(2R,3S,4S,5S,6R)-2-[[7-hydroxy-4-[(Z)-5-hydroxy-3-methylpent-3-enyl]-4a,8,8-trimethyl-3-methylidene-2,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",0.769584,10,80.9925,161231,Yes,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",First Analog,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X212.139_0.32_5535,5535,212.139,0.32,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X421.3424_2.83_5537,5537,421.3424,2.83,"6,10a-dihydroxy-4-(hydroxymethyl)-4,7,11b-trimethyl-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran-9-one",0.738223,9,53.0994,144197,Yes,"(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid",First Analog,Steroids and steroid derivatives,Cholesterols and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,Cholestane steroids,Lipids and lipid-like molecules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
